transaction_id,timestamp,account_id,amount_inr,device_age_hours,billing_country,ip_country,account_tx_count_10min,is_fraud
tx_00236,2026-08-01T00:23:00,acct_0003,49303.42,1019.7,SG,SG,1,0
tx_00222,2026-08-01T01:26:00,acct_0026,2509.0,2.1,NG,NG,1,0
tx_00147,2026-08-01T03:02:00,acct_0003,13849.27,63.5,US,US,1,0
tx_00249,2026-08-01T03:44:00,acct_0056,3059.22,1814.0,DE,DE,1,0
tx_00291,2026-08-01T05:11:00,acct_0018,3613.28,9.6,GB,GB,1,1
tx_00259,2026-08-01T05:21:00,acct_0059,4558.37,3303.7,IN,IN,1,0
tx_00313,2026-08-01T06:11:00,acct_0024,15447.05,701.8,SG,SG,1,0
tx_00166,2026-08-01T09:04:00,acct_0083,575.1,1178.2,SG,SG,1,0
tx_00565,2026-08-01T09:15:00,acct_0133,1232.5,520.6,NG,NG,1,0
tx_00046,2026-08-01T11:25:00,acct_0001,16117.63,1149.0,AE,AE,1,0
tx_00547,2026-08-01T12:15:00,acct_0042,818.93,3941.6,IN,IN,1,0
tx_00582,2026-08-01T13:01:00,acct_0022,41888.16,31.5,NG,NG,1,0
tx_00074,2026-08-01T15:24:00,acct_0035,3954.35,5.6,GB,GB,1,1
tx_00436,2026-08-01T17:15:00,acct_0033,340.26,3767.5,SG,SG,1,0
tx_00035,2026-08-01T19:07:00,acct_0122,4599.46,2050.2,SG,SG,1,0
tx_00132,2026-08-01T20:12:00,acct_0043,4718.2,1709.8,IN,IN,1,0
tx_00408,2026-08-01T20:19:00,acct_0095,2829.52,39.4,IN,IN,1,0
tx_00017,2026-08-01T20:25:00,acct_0131,2472.77,2453.0,GB,GB,1,0
tx_00581,2026-08-01T22:45:00,acct_0031,43513.44,441.6,US,US,1,0
tx_00178,2026-08-01T23:14:00,acct_0115,29941.08,5.0,US,AE,1,0
tx_00321,2026-08-01T23:45:00,acct_0097,16872.58,14.8,SG,SG,1,0
tx_00323,2026-08-01T23:48:00,acct_0010,3124.44,713.8,US,US,1,0
tx_00253,2026-08-02T01:01:00,acct_0076,4210.22,5.5,AE,AE,1,0
tx_00592,2026-08-02T02:22:00,acct_0111,86216.36,3838.8,DE,DE,2,0
tx_00143,2026-08-02T03:56:00,acct_0003,28285.16,2013.5,SG,SG,1,0
tx_00372,2026-08-02T05:01:00,acct_0125,1867.69,3197.3,BR,BR,1,0
tx_00265,2026-08-02T09:26:00,acct_0016,4725.18,3649.0,IN,IN,1,0
tx_00300,2026-08-02T10:49:00,acct_0014,4128.97,1.7,US,US,1,0
tx_00386,2026-08-02T12:58:00,acct_0021,502.72,3169.1,DE,DE,1,0
tx_00135,2026-08-02T15:04:00,acct_0139,34138.4,2104.2,IN,IN,1,0
tx_00514,2026-08-02T15:06:00,acct_0012,29522.34,27.9,NG,NG,1,0
tx_00280,2026-08-02T15:13:00,acct_0056,4709.32,3364.8,NG,NG,1,0
tx_00508,2026-08-02T16:10:00,acct_0133,3714.36,0.7,US,US,5,1
tx_00420,2026-08-02T16:35:00,acct_0115,45015.12,5.9,GB,AE,1,1
tx_00299,2026-08-02T16:49:00,acct_0035,528.99,5.1,IN,IN,1,1
tx_00198,2026-08-02T17:22:00,acct_0004,385008.06,2319.8,IN,AE,1,1
tx_00158,2026-08-02T20:11:00,acct_0057,388.32,1750.1,GB,GB,1,0
tx_00052,2026-08-02T20:24:00,acct_0104,145310.13,2.3,AE,AE,1,0
tx_00209,2026-08-02T21:36:00,acct_0094,2049.71,1660.1,SG,SG,1,0
tx_00392,2026-08-02T23:06:00,acct_0108,3541.68,1597.5,AE,AE,1,0
tx_00264,2026-08-02T23:34:00,acct_0020,30853.03,2414.3,DE,DE,1,0
tx_00131,2026-08-03T01:20:00,acct_0046,11162.96,2363.5,US,US,1,0
tx_00404,2026-08-03T01:59:00,acct_0078,4496.63,2404.3,IN,IN,1,0
tx_00449,2026-08-03T04:53:00,acct_0094,97303.65,1038.6,NG,NG,1,0
tx_00331,2026-08-03T10:27:00,acct_0076,2007.27,2960.4,NG,NG,1,0
tx_00049,2026-08-03T11:22:00,acct_0101,2358.28,1.3,IN,IN,4,1
tx_00027,2026-08-03T11:24:00,acct_0089,42857.1,2519.8,BR,BR,1,0
tx_00170,2026-08-03T12:24:00,acct_0019,18308.31,1386.4,GB,GB,1,0
tx_00189,2026-08-03T13:11:00,acct_0081,39523.47,35.8,IN,IN,1,0
tx_00238,2026-08-03T14:14:00,acct_0005,4477.32,518.5,SG,SG,1,0
tx_00474,2026-08-03T17:49:00,acct_0005,3269.29,2371.6,AE,AE,1,0
tx_00593,2026-08-03T17:58:00,acct_0061,244.61,359.5,DE,DE,1,0
tx_00273,2026-08-03T19:46:00,acct_0058,3668.68,6.6,NG,NG,1,1
tx_00055,2026-08-03T22:42:00,acct_0105,4941.55,26.2,BR,BR,1,0
tx_00421,2026-08-04T00:18:00,acct_0011,879.8,14.7,SG,SG,7,0
tx_00024,2026-08-04T00:46:00,acct_0057,1485.73,93.6,BR,BR,1,0
tx_00518,2026-08-04T00:49:00,acct_0098,655.82,282.7,SG,SG,1,0
tx_00270,2026-08-04T01:05:00,acct_0017,2649.32,342.4,DE,DE,1,0
tx_00248,2026-08-04T01:31:00,acct_0071,1926.76,2059.8,AE,AE,3,0
tx_00258,2026-08-04T01:47:00,acct_0113,2453.91,36.2,AE,AE,1,0
tx_00276,2026-08-04T02:10:00,acct_0049,263899.78,992.8,IN,GB,1,1
tx_00156,2026-08-04T02:21:00,acct_0028,622.11,2025.4,US,US,1,0
tx_00526,2026-08-04T03:23:00,acct_0087,1773.09,3136.4,IN,SG,1,0
tx_00317,2026-08-04T04:02:00,acct_0099,2433.4,1728.3,BR,BR,1,0
tx_00009,2026-08-04T04:48:00,acct_0007,220823.82,635.1,NG,NG,1,0
tx_00257,2026-08-04T05:31:00,acct_0137,22217.49,2259.5,AE,US,1,0
tx_00511,2026-08-04T05:46:00,acct_0080,2318.86,151.1,SG,SG,1,0
tx_00204,2026-08-04T06:38:00,acct_0083,43596.76,930.3,SG,SG,1,1
tx_00020,2026-08-04T07:52:00,acct_0110,126855.74,531.5,NG,NG,1,0
tx_00292,2026-08-04T08:06:00,acct_0086,4650.67,1697.5,SG,SG,6,0
tx_00185,2026-08-04T08:16:00,acct_0088,39849.75,30.5,NG,NG,9,1
tx_00485,2026-08-04T11:54:00,acct_0099,14266.39,2187.6,US,US,1,0
tx_00507,2026-08-04T12:25:00,acct_0003,4504.31,1092.2,US,AE,1,0
tx_00187,2026-08-04T14:37:00,acct_0013,273962.29,2322.3,IN,IN,1,0
tx_00391,2026-08-04T14:51:00,acct_0004,34279.96,1472.2,AE,AE,1,0
tx_00047,2026-08-04T16:34:00,acct_0108,3647.99,34.0,IN,IN,1,1
tx_00003,2026-08-04T17:24:00,acct_0063,551.36,3506.5,SG,SG,1,0
tx_00538,2026-08-04T18:27:00,acct_0122,36042.72,344.9,AE,SG,1,0
tx_00160,2026-08-04T22:05:00,acct_0089,198391.5,3992.5,AE,AE,1,0
tx_00570,2026-08-04T23:39:00,acct_0010,1649.01,46.8,BR,BR,1,1
